"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","311.0762708153929","132.3532051300489","4.635640833725591","-0.3132760394092362","0.014404296875","0.01025390625","0.0185546875","1216","0.0002026624843232473","0","0.0002026624843232473","0.0002026624843232473","","","true"
"1","382.0498685554231","365.5554809593298","4.73625943580684","-0.3129180725120383","0.0380859375","0.01708984375","0.05908203125","1216","0.00024098197727743736","0","0.00024098197727743736","0.00024098197727743736","1_0:0.0064273512912716435;1_2:0.0058407455333531755","1_0:533.3333333333333;1_2:533.3333333333333","true"
"2","228.29994176328057","168.76040570314134","4.8191261050001275","-0.3112951524093254","0.010986328125","0.005859375","0.01611328125","1216","0.00025987338787857776","0","0.00025987338787857776","0.00025987338787857776","","","true"
"3","342.30043262469695","356.51452594320625","4.747151117400624","-0.3111534699659636","0.021484375","0.0166015625","0.0263671875","1216","0.0004219969963825149","0","0.0004219969963825149","0.0004219969963825149","3_2:0.01055287755276868","3_2:533.3333333333333","true"
"4","408.003967251777","383.2675754240296","4.787872617729841","-0.31094540176555985","0.0341796875","0.009765625","0.05859375","1216","0.0003684119489540203","0","0.0003684119489540203","0.0003684119489540203","4_15:0.00606499063099547;4_3:0.005885279044761271","4_15:533.3333333333333;4_3:533.3333333333333","true"
"5","113.88133067137412","313.39481316694383","4.850826956379398","-0.31056606217183785","0.05224609375","0.06591796875","0.03857421875","1216","1","0","1","1","5_4:0.004126025080335882","5_4:533.3333333333333","true"
"6","237.40349651795418","140.97116397708703","4.899519854433154","-0.3090557835234433","0.06005859375","0.037109375","0.0830078125","1216","0.0002685032771279595","0","0.0002685032771279595","0.0002685032771279595","6_5:0.0037076009784919317","6_5:533.3333333333333","true"
"7","164.6261234600072","70.28039866462774","4.755938400620175","-0.31100390518358323","0.02783203125","0.0166015625","0.0390625","1216","0.0007474144916809877","0","0.0007474144916809877","0.0007474144916809877","7_6:0.009212820065618688;7_8:0.01247188674556482","7_6:533.3333333333333;7_8:533.3333333333333","true"
"8","394.1651058571488","17.282471331162924","4.812562576626058","-0.31334511346081884","0.068359375","0.04931640625","0.08740234375","1216","1","0","1","1","8_9:0.026719743064628987","8_9:533.3333333333333","true"
"9","291.84655218305363","55.00711042701931","4.637466129307075","-0.29264088813258476","0.06103515625","0.0390625","0.0830078125","1216","0.00024244077419062674","0","0.00024244077419062674","0.00024244077419062674","","","true"
